	X		Y		Z
tf	929.201518	-710.970466	-86.072563
bf	1120.220653	-1121.835276	-86.011677
p1cp	999.767421	-1010.264906	-72.793025
p1op	1074.697373	-1010.303814	-72.878132
p2cp	1050.634687	-819.787101	-72.846768
p2op	975.654391	-819.747535	-72.787326
sl	999.999992	-699.999999	-83.557076
PUT11	194.304310	-1112.838799	-87.148111
PUT12	194.850301	-920.787689	-87.271221
PUT13	360.351891	-1016.612036	-87.218791
PUT21	356.334430	-935.140755	-87.283684
PUT22	356.322429	-743.463542	-87.223324
PUT23	190.377597	-838.812698	-87.238942
